employee_id,business_travel,business_travel_allowance_percent,business_travel_allowance_rs,performance,performance_bonus_percent,performance_bonus_rs,over_time,over_time_incentive_percent,over_time_incentive_rs,monthly_salary_rs,yearly_salary_rs,marital_status,marital_allowance_percent,marital_allowance_rs,home_distance_km,office_travel_allowance_01,office_travel_allowance_rs,years_at_company,range_years_at_company,training_months,yearly_package_rs,yearly_package_lpa,range_yearly_package
24,Rarely,2,1369.6,Average,0,0,Yes,10,6848,68480,821760,Single,0,0,2,0,0,3,0-5 yrs,3,829977.6,8.3,6-9 LPA
26,No Travel,0,0,Good,5,63854.4,No,0,0,106424,1277088,Divorced,0,0,11,0,0,4,0-5 yrs,5,1340942.4,13.4,12-15 LPA
27,Rarely,2,1920.16,Excellent,15,172814.4,No,0,0,96008,1152096,Single,0,0,9,1,46800,5,0-5 yrs,4,1373630.56,13.7,12-15 LPA
28,Rarely,2,1488.64,Average,0,0,No,0,0,74432,893184,Single,0,0,7,0,0,12,10-15 yrs,4,894672.64,8.9,6-9 LPA
30,Rarely,2,2128.48,Average,0,0,No,0,0,106424,1277088,Single,0,0,15,0,0,0,0-5 yrs,6,1279216.48,12.8,12-15 LPA
31,Rarely,2,1935.04,Average,0,0,No,0,0,96752,1161024,Single,0,0,6,0,0,4,0-5 yrs,2,1162959.04,11.6,9-12 LPA
32,Rarely,2,1563.04,Average,0,0,No,0,0,78152,937824,Divorced,0,0,5,0,0,14,10-15 yrs,3,939387.04,9.4,9-12 LPA
33,Frequently,5,4428.4,Excellent,15,159422.4,Yes,10,8856.8,88568,1062816,Single,0,0,16,1,83200,10,5-10 yrs,5,1318723.6,13.2,12-15 LPA
35,Rarely,2,1414.24,Average,0,0,No,0,0,70712,848544,Married,5,3535.6,8,0,0,9,5-10 yrs,2,853493.84,8.5,6-9 LPA
36,Rarely,2,1324.96,Average,0,0,No,0,0,66248,794976,Married,5,3312.4,7,0,0,22,20-25 yrs,4,799613.36,8,6-9 LPA
38,Rarely,2,1935.04,Average,0,0,No,0,0,96752,1161024,Single,0,0,2,0,0,2,0-5 yrs,2,1162959.04,11.6,9-12 LPA
39,Rarely,2,1860.64,Average,0,0,No,0,0,93032,1116384,Single,0,0,2,0,0,1,0-5 yrs,3,1118244.64,11.2,9-12 LPA
40,Rarely,2,1310.08,Average,0,0,Yes,10,6550.4,65504,786048,Married,5,3275.2,10,0,0,4,0-5 yrs,5,797183.68,8,6-9 LPA
41,Rarely,2,1935.04,Average,0,0,No,0,0,96752,1161024,Single,0,0,9,0,0,10,5-10 yrs,5,1162959.04,11.6,9-12 LPA
42,Rarely,2,1533.28,Average,0,0,No,0,0,76664,919968,Married,5,3833.2,5,0,0,1,0-5 yrs,6,925334.48,9.3,9-12 LPA
45,Rarely,2,1607.68,Good,5,48230.4,Yes,10,8038.4,80384,964608,Married,5,4019.2,1,0,0,2,0-5 yrs,2,1026503.68,10.3,9-12 LPA
46,Rarely,2,1771.36,Average,0,0,No,0,0,88568,1062816,Divorced,0,0,2,0,0,5,0-5 yrs,3,1064587.36,10.6,9-12 LPA
47,Rarely,2,1979.68,Average,0,0,Yes,10,9898.4,98984,1187808,Married,5,4949.2,3,0,0,3,0-5 yrs,2,1204635.28,12,9-12 LPA
49,Rarely,2,2143.36,Average,0,0,No,0,0,107168,1286016,Married,5,5358.4,2,0,0,2,0-5 yrs,3,1293517.76,12.9,12-15 LPA
51,Rarely,2,1920.16,Average,0,0,Yes,10,9600.8,96008,1152096,Married,5,4800.4,5,0,0,1,0-5 yrs,3,1168417.36,11.7,9-12 LPA
52,Frequently,5,3312.4,Good,5,39748.8,No,0,0,66248,794976,Married,5,3312.4,1,0,0,5,0-5 yrs,3,841349.6,8.4,6-9 LPA
53,Rarely,2,1816,Average,0,0,No,0,0,90800,1089600,Divorced,0,0,4,0,0,1,0-5 yrs,3,1091416,10.9,9-12 LPA
54,Rarely,2,1191.04,Average,0,0,No,0,0,59552,714624,Divorced,0,0,2,0,0,1,0-5 yrs,6,715815.04,7.2,6-9 LPA
55,Rarely,2,1414.24,Average,0,0,No,0,0,70712,848544,Single,0,0,25,0,0,1,0-5 yrs,2,849958.24,8.5,6-9 LPA
56,Frequently,5,3126.4,Good,5,37516.8,No,0,0,62528,750336,Single,0,0,8,0,0,9,5-10 yrs,0,790979.2,7.9,6-9 LPA
57,Frequently,5,3907.6,Excellent,15,140673.6,No,0,0,78152,937824,Single,0,0,1,1,5200,12,10-15 yrs,2,1087605.2,10.9,9-12 LPA
58,Rarely,2,1429.12,Average,0,0,No,0,0,71456,857472,Married,5,3572.8,12,0,0,22,20-25 yrs,0,862473.92,8.6,6-9 LPA
60,No Travel,0,0,Good,5,53140.8,No,0,0,88568,1062816,Single,0,0,23,0,0,9,5-10 yrs,2,1115956.8,11.2,9-12 LPA
61,Rarely,2,1786.24,Excellent,15,160761.6,No,0,0,89312,1071744,Married,5,4465.6,19,1,98800,1,0-5 yrs,1,1337557.44,13.4,12-15 LPA
62,Frequently,5,5395.6,Excellent,15,194241.6,Yes,10,10791.2,107912,1294944,Single,0,0,5,1,26000,9,5-10 yrs,4,1531372.4,15.3,15+ LPA
63,Rarely,2,1235.68,Good,5,37070.4,No,0,0,61784,741408,Married,5,3089.2,8,0,0,1,0-5 yrs,2,782803.28,7.8,6-9 LPA
64,Rarely,2,2158.24,Average,0,0,Yes,10,10791.2,107912,1294944,Single,0,0,1,0,0,1,0-5 yrs,2,1307893.44,13.1,12-15 LPA
65,Rarely,2,1444,Average,0,0,Yes,10,7220,72200,866400,Single,0,0,5,0,0,2,0-5 yrs,3,875064,8.8,6-9 LPA
68,Rarely,2,1816,Excellent,15,163440,Yes,10,9080,90800,1089600,Divorced,0,0,1,1,5200,4,0-5 yrs,2,1269136,12.7,12-15 LPA
70,No Travel,0,0,Average,0,0,Yes,10,9377.6,93776,1125312,Married,5,4688.8,11,0,0,4,0-5 yrs,3,1139378.4,11.4,9-12 LPA
72,Rarely,2,1399.36,Good,5,41980.8,Yes,10,6996.8,69968,839616,Married,5,3498.4,23,0,0,2,0-5 yrs,2,893491.36,8.9,6-9 LPA
73,Frequently,5,5395.6,Average,0,0,Yes,10,10791.2,107912,1294944,Single,0,0,1,0,0,15,10-15 yrs,1,1311130.8,13.1,12-15 LPA
74,Frequently,5,4391.2,Excellent,15,158083.2,No,0,0,87824,1053888,Married,5,4391.2,18,1,93600,9,5-10 yrs,3,1314353.6,13.1,12-15 LPA
75,Rarely,2,1146.4,Good,5,34392,Yes,10,5732,57320,687840,Married,5,2866,23,0,0,2,0-5 yrs,3,731976.4,7.3,6-9 LPA
76,Rarely,2,1414.24,Excellent,15,127281.6,No,0,0,70712,848544,Divorced,0,0,7,1,36400,7,5-10 yrs,3,1013639.84,10.1,9-12 LPA
77,Rarely,2,1458.88,Good,5,43766.4,No,0,0,72944,875328,Divorced,0,0,1,0,0,7,5-10 yrs,2,920553.28,9.2,9-12 LPA
78,Rarely,2,1191.04,Excellent,15,107193.6,Yes,10,5955.2,59552,714624,Married,5,2977.6,1,1,5200,9,5-10 yrs,3,837141.44,8.4,6-9 LPA
79,Frequently,5,3610,Average,0,0,No,0,0,72200,866400,Single,0,0,29,0,0,10,5-10 yrs,2,870010,8.7,6-9 LPA
80,Rarely,2,1339.84,Average,0,0,Yes,10,6699.2,66992,803904,Divorced,0,0,7,0,0,27,25-30 yrs,2,811943.04,8.1,6-9 LPA
81,Rarely,2,2173.12,Average,0,0,No,0,0,108656,1303872,Single,0,0,25,0,0,21,20-25 yrs,3,1306045.12,13.1,12-15 LPA
83,Rarely,2,1577.92,Average,0,0,No,0,0,78896,946752,Divorced,0,0,8,0,0,17,15-20 yrs,2,948329.92,9.5,9-12 LPA
84,Rarely,2,1191.04,Average,0,0,Yes,10,5955.2,59552,714624,Divorced,0,0,8,0,0,5,0-5 yrs,2,721770.24,7.2,6-9 LPA
85,Frequently,5,5284,Average,0,0,No,0,0,105680,1268160,Single,0,0,11,0,0,6,5-10 yrs,3,1273444,12.7,12-15 LPA
86,Rarely,2,1577.92,Good,5,47337.6,No,0,0,78896,946752,Divorced,0,0,7,0,0,1,0-5 yrs,2,995667.52,10,9-12 LPA
88,Frequently,5,4688.8,Average,0,0,No,0,0,93776,1125312,Married,5,4688.8,1,0,0,3,0-5 yrs,2,1134689.6,11.3,9-12 LPA
90,Rarely,2,1875.52,Good,5,56265.6,Yes,10,9377.6,93776,1125312,Married,5,4688.8,9,0,0,1,0-5 yrs,0,1197519.52,12,9-12 LPA
91,Frequently,5,3870.4,Average,0,0,No,0,0,77408,928896,Single,0,0,1,0,0,4,0-5 yrs,2,932766.4,9.3,9-12 LPA
94,Rarely,2,1830.88,Excellent,15,164779.2,No,0,0,91544,1098528,Married,5,4577.2,2,1,10400,5,0-5 yrs,3,1280115.28,12.8,12-15 LPA
95,Rarely,2,1994.56,Good,5,59836.8,No,0,0,99728,1196736,Single,0,0,1,0,0,1,0-5 yrs,4,1258567.36,12.6,12-15 LPA
96,Rarely,2,1682.08,Good,5,50462.4,No,0,0,84104,1009248,Married,5,4205.2,1,0,0,10,5-10 yrs,3,1065597.68,10.7,9-12 LPA
97,Rarely,2,1518.4,Average,0,0,No,0,0,75920,911040,Married,5,3796,6,0,0,1,0-5 yrs,3,916354.4,9.2,9-12 LPA
98,Rarely,2,1607.68,Excellent,15,144691.2,No,0,0,80384,964608,Single,0,0,8,1,41600,11,10-15 yrs,2,1152506.88,11.5,9-12 LPA
100,Rarely,2,1176.16,Average,0,0,No,0,0,58808,705696,Single,0,0,1,0,0,15,10-15 yrs,2,706872.16,7.1,6-9 LPA
101,Rarely,2,1473.76,Average,0,0,Yes,10,7368.8,73688,884256,Married,5,3684.4,6,0,0,0,0-5 yrs,3,896782.96,9,6-9 LPA
102,Rarely,2,1146.4,Average,0,0,No,0,0,57320,687840,Single,0,0,7,0,0,5,0-5 yrs,3,688986.4,6.9,6-9 LPA
103,Rarely,2,1890.4,Excellent,15,170136,Yes,10,9452,94520,1134240,Divorced,0,0,5,1,26000,4,0-5 yrs,2,1341718.4,13.4,12-15 LPA
104,Rarely,2,1518.4,Average,0,0,Yes,10,7592,75920,911040,Married,5,3796,1,0,0,10,5-10 yrs,1,923946.4,9.2,9-12 LPA
105,Rarely,2,1146.4,Good,5,34392,No,0,0,57320,687840,Single,0,0,1,0,0,6,5-10 yrs,3,723378.4,7.2,6-9 LPA
106,Rarely,2,1741.6,Average,0,0,No,0,0,87080,1044960,Married,5,4354,1,0,0,1,0-5 yrs,4,1051055.6,10.5,9-12 LPA
107,No Travel,0,0,Average,0,0,Yes,10,9377.6,93776,1125312,Divorced,0,0,6,0,0,13,10-15 yrs,3,1134689.6,11.3,9-12 LPA
110,Rarely,2,2098.72,Good,5,62961.6,No,0,0,104936,1259232,Married,5,5246.8,1,0,0,5,0-5 yrs,2,1329539.12,13.3,12-15 LPA
112,Rarely,2,1429.12,Average,0,0,No,0,0,71456,857472,Single,0,0,7,0,0,6,5-10 yrs,3,858901.12,8.6,6-9 LPA
113,Rarely,2,1622.56,Average,0,0,No,0,0,81128,973536,Divorced,0,0,2,0,0,0,0-5 yrs,3,975158.56,9.8,9-12 LPA
116,Rarely,2,2128.48,Excellent,15,191563.2,No,0,0,106424,1277088,Married,5,5321.2,9,1,46800,4,0-5 yrs,4,1522900.88,15.2,15+ LPA
117,Rarely,2,2173.12,Good,5,65193.6,No,0,0,108656,1303872,Married,5,5432.8,2,0,0,11,10-15 yrs,3,1376671.52,13.8,12-15 LPA
118,Rarely,2,1652.32,Good,5,49569.6,No,0,0,82616,991392,Single,0,0,9,0,0,9,5-10 yrs,3,1042613.92,10.4,9-12 LPA
119,Frequently,5,4651.6,Excellent,15,167457.6,No,0,0,93032,1116384,Married,5,4651.6,1,1,5200,22,20-25 yrs,3,1298344.8,13,12-15 LPA
120,Rarely,2,1756.48,Excellent,15,158083.2,Yes,10,8782.4,87824,1053888,Single,0,0,21,1,109200,10,5-10 yrs,2,1331710.08,13.3,12-15 LPA
121,Rarely,2,1637.44,Average,0,0,Yes,10,8187.2,81872,982464,Divorced,0,0,4,0,0,11,10-15 yrs,4,992288.64,9.9,9-12 LPA
124,Frequently,5,3238,Average,0,0,Yes,10,6476,64760,777120,Married,5,3238,1,0,0,10,5-10 yrs,5,790072,7.9,6-9 LPA
125,Rarely,2,1994.56,Good,5,59836.8,No,0,0,99728,1196736,Single,0,0,6,0,0,11,10-15 yrs,0,1258567.36,12.6,12-15 LPA
126,Rarely,2,1592.8,Average,0,0,No,0,0,79640,955680,Married,5,3982,2,0,0,4,0-5 yrs,5,961254.8,9.6,9-12 LPA
128,Rarely,2,1191.04,Excellent,15,107193.6,No,0,0,59552,714624,Married,5,2977.6,3,1,15600,3,0-5 yrs,2,841586.24,8.4,6-9 LPA
129,No Travel,0,0,Good,5,40195.2,No,0,0,66992,803904,Married,5,3349.6,4,0,0,5,0-5 yrs,3,847448.8,8.5,6-9 LPA
131,Rarely,2,1250.56,Average,0,0,No,0,0,62528,750336,Single,0,0,10,0,0,37,35-40 yrs,1,751586.56,7.5,6-9 LPA
132,No Travel,0,0,Average,0,0,No,0,0,84848,1018176,Married,5,4242.4,23,0,0,3,0-5 yrs,3,1022418.4,10.2,9-12 LPA
133,Rarely,2,1637.44,Excellent,15,147369.6,Yes,10,8187.2,81872,982464,Divorced,0,0,6,1,31200,3,0-5 yrs,3,1170858.24,11.7,9-12 LPA
134,Rarely,2,1756.48,Average,0,0,No,0,0,87824,1053888,Single,0,0,1,0,0,1,0-5 yrs,2,1055644.48,10.6,9-12 LPA
137,Frequently,5,4205.2,Good,5,50462.4,Yes,10,8410.4,84104,1009248,Single,0,0,6,0,0,1,0-5 yrs,5,1072326,10.7,9-12 LPA
138,Rarely,2,1310.08,Average,0,0,No,0,0,65504,786048,Single,0,0,6,0,0,16,15-20 yrs,3,787358.08,7.9,6-9 LPA
139,No Travel,0,0,Average,0,0,No,0,0,109400,1312800,Divorced,0,0,2,0,0,1,0-5 yrs,2,1312800,13.1,12-15 LPA
140,No Travel,0,0,Excellent,15,105854.4,No,0,0,58808,705696,Married,5,2940.4,2,1,10400,3,0-5 yrs,3,824890.8,8.2,6-9 LPA
141,Frequently,5,4465.6,Good,5,53587.2,Yes,10,8931.2,89312,1071744,Married,5,4465.6,1,0,0,8,5-10 yrs,1,1143193.6,11.4,9-12 LPA
142,Rarely,2,1384.48,Average,0,0,Yes,10,6922.4,69224,830688,Single,0,0,5,0,0,6,5-10 yrs,1,838994.88,8.4,6-9 LPA
143,Rarely,2,1652.32,Average,0,0,No,0,0,82616,991392,Married,5,4130.8,7,0,0,2,0-5 yrs,2,997175.12,10,9-12 LPA
144,Rarely,2,1577.92,Good,5,47337.6,No,0,0,78896,946752,Single,0,0,15,0,0,0,0-5 yrs,5,995667.52,10,9-12 LPA
145,Frequently,5,2866,Good,5,34392,No,0,0,57320,687840,Single,0,0,1,0,0,13,10-15 yrs,1,725098,7.3,6-9 LPA
147,Frequently,5,4205.2,Excellent,15,151387.2,Yes,10,8410.4,84104,1009248,Single,0,0,7,1,36400,9,5-10 yrs,3,1209650.8,12.1,12-15 LPA
148,No Travel,0,0,Average,0,0,Yes,10,5732,57320,687840,Single,0,0,26,0,0,5,0-5 yrs,3,693572,6.9,6-9 LPA
150,Rarely,2,1473.76,Average,0,0,No,0,0,73688,884256,Married,5,3684.4,18,0,0,5,0-5 yrs,2,889414.16,8.9,6-9 LPA
151,Rarely,2,1369.6,Good,5,41088,No,0,0,68480,821760,Divorced,0,0,6,0,0,1,0-5 yrs,3,864217.6,8.6,6-9 LPA
152,Rarely,2,1994.56,Average,0,0,No,0,0,99728,1196736,Single,0,0,3,0,0,5,0-5 yrs,3,1198730.56,12,9-12 LPA
153,Rarely,2,1369.6,Average,0,0,No,0,0,68480,821760,Single,0,0,5,0,0,11,10-15 yrs,6,823129.6,8.2,6-9 LPA
154,Frequently,5,5172.4,Average,0,0,No,0,0,103448,1241376,Married,5,5172.4,11,0,0,9,5-10 yrs,6,1251720.8,12.5,12-15 LPA
155,Rarely,2,1280.32,Excellent,15,115228.8,No,0,0,64016,768192,Divorced,0,0,3,1,15600,1,0-5 yrs,2,900301.12,9,6-9 LPA
158,Frequently,5,5172.4,Average,0,0,Yes,10,10344.8,103448,1241376,Married,5,5172.4,26,0,0,25,20-25 yrs,3,1262065.6,12.6,12-15 LPA
159,Frequently,5,5321.2,Excellent,15,191563.2,No,0,0,106424,1277088,Divorced,0,0,23,1,119600,10,5-10 yrs,2,1593572.4,15.9,15+ LPA
160,No Travel,0,0,Average,0,0,No,0,0,105680,1268160,Married,5,5284,22,0,0,7,5-10 yrs,2,1273444,12.7,12-15 LPA
161,Rarely,2,1771.36,Good,5,53140.8,Yes,10,8856.8,88568,1062816,Married,5,4428.4,14,0,0,5,0-5 yrs,2,1131013.36,11.3,9-12 LPA
162,Rarely,2,1458.88,Average,0,0,No,0,0,72944,875328,Single,0,0,6,0,0,20,15-20 yrs,5,876786.88,8.8,6-9 LPA
163,Rarely,2,1830.88,Good,5,54926.4,Yes,10,9154.4,91544,1098528,Married,5,4577.2,6,0,0,7,5-10 yrs,3,1169016.88,11.7,9-12 LPA
164,Rarely,2,1384.48,Good,5,41534.4,No,0,0,69224,830688,Married,5,3461.2,6,0,0,5,0-5 yrs,3,877068.08,8.8,6-9 LPA
165,Rarely,2,2098.72,Average,0,0,No,0,0,104936,1259232,Married,5,5246.8,23,0,0,40,35-40 yrs,3,1266577.52,12.7,12-15 LPA
167,Rarely,2,1444,Good,5,43320,Yes,10,7220,72200,866400,Single,0,0,22,0,0,0,0-5 yrs,2,918384,9.2,9-12 LPA
169,Rarely,2,2188,Average,0,0,No,0,0,109400,1312800,Married,5,5470,2,0,0,2,0-5 yrs,2,1320458,13.2,12-15 LPA
170,Rarely,2,2128.48,Average,0,0,No,0,0,106424,1277088,Married,5,5321.2,20,0,0,15,10-15 yrs,2,1284537.68,12.8,12-15 LPA
171,Frequently,5,4428.4,Average,0,0,No,0,0,88568,1062816,Single,0,0,28,0,0,3,0-5 yrs,2,1067244.4,10.7,9-12 LPA
174,Frequently,5,4614.4,Average,0,0,No,0,0,92288,1107456,Single,0,0,12,0,0,2,0-5 yrs,3,1112070.4,11.1,9-12 LPA
175,Rarely,2,1756.48,Average,0,0,Yes,10,8782.4,87824,1053888,Married,5,4391.2,20,0,0,2,0-5 yrs,2,1068818.08,10.7,9-12 LPA
176,Rarely,2,2128.48,Average,0,0,Yes,10,10642.4,106424,1277088,Divorced,0,0,9,0,0,9,5-10 yrs,2,1289858.88,12.9,12-15 LPA
177,Rarely,2,1607.68,Excellent,15,144691.2,No,0,0,80384,964608,Married,5,4019.2,25,1,130000,8,5-10 yrs,3,1244926.08,12.4,12-15 LPA
178,Rarely,2,1949.92,Good,5,58497.6,No,0,0,97496,1169952,Divorced,0,0,6,0,0,3,0-5 yrs,0,1230399.52,12.3,12-15 LPA
179,Frequently,5,3721.6,Good,5,44659.2,No,0,0,74432,893184,Single,0,0,8,0,0,4,0-5 yrs,2,941564.8,9.4,9-12 LPA
182,Rarely,2,1399.36,Average,0,0,No,0,0,69968,839616,Married,5,3498.4,4,0,0,15,10-15 yrs,1,844513.76,8.4,6-9 LPA
183,Rarely,2,1310.08,Good,5,39302.4,No,0,0,65504,786048,Married,5,3275.2,28,0,0,2,0-5 yrs,3,829935.68,8.3,6-9 LPA
184,Rarely,2,1414.24,Good,5,42427.2,Yes,10,7071.2,70712,848544,Married,5,3535.6,9,0,0,11,10-15 yrs,2,902992.24,9,6-9 LPA
190,Rarely,2,1310.08,Excellent,15,117907.2,No,0,0,65504,786048,Single,0,0,9,1,46800,5,0-5 yrs,2,952065.28,9.5,9-12 LPA
192,Rarely,2,1935.04,Average,0,0,No,0,0,96752,1161024,Single,0,0,29,0,0,6,5-10 yrs,2,1162959.04,11.6,9-12 LPA
193,Rarely,2,1176.16,Good,5,35284.8,Yes,10,5880.8,58808,705696,Single,0,0,3,0,0,3,0-5 yrs,2,748037.76,7.5,6-9 LPA
194,Rarely,2,1816,Average,0,0,No,0,0,90800,1089600,Single,0,0,18,0,0,5,0-5 yrs,4,1091416,10.9,9-12 LPA
195,Frequently,5,3052,Good,5,36624,No,0,0,61040,732480,Divorced,0,0,9,0,0,8,5-10 yrs,2,772156,7.7,6-9 LPA
197,Rarely,2,1949.92,Average,0,0,No,0,0,97496,1169952,Divorced,0,0,5,0,0,3,0-5 yrs,3,1171901.92,11.7,9-12 LPA
198,Rarely,2,1220.8,Average,0,0,No,0,0,61040,732480,Single,0,0,2,0,0,5,0-5 yrs,3,733700.8,7.3,6-9 LPA
199,Frequently,5,5135.2,Average,0,0,No,0,0,102704,1232448,Divorced,0,0,10,0,0,7,5-10 yrs,2,1237583.2,12.4,12-15 LPA
200,Rarely,2,2098.72,Excellent,15,188884.8,No,0,0,104936,1259232,Married,5,5246.8,9,1,46800,5,0-5 yrs,2,1502262.32,15,12-15 LPA
201,Rarely,2,1875.52,Average,0,0,No,0,0,93776,1125312,Single,0,0,3,0,0,1,0-5 yrs,3,1127187.52,11.3,9-12 LPA
202,Frequently,5,3758.8,Average,0,0,No,0,0,75176,902112,Divorced,0,0,26,0,0,20,15-20 yrs,2,905870.8,9.1,9-12 LPA
204,Rarely,2,2098.72,Average,0,0,No,0,0,104936,1259232,Married,5,5246.8,1,0,0,10,5-10 yrs,3,1266577.52,12.7,12-15 LPA
205,Rarely,2,1205.92,Good,5,36177.6,Yes,10,6029.6,60296,723552,Married,5,3014.8,6,0,0,7,5-10 yrs,3,769979.92,7.7,6-9 LPA
206,Rarely,2,1592.8,Good,5,47784,No,0,0,79640,955680,Divorced,0,0,9,0,0,17,15-20 yrs,2,1005056.8,10.1,9-12 LPA
207,Frequently,5,3349.6,Average,0,0,No,0,0,66992,803904,Single,0,0,8,0,0,9,5-10 yrs,2,807253.6,8.1,6-9 LPA
208,No Travel,0,0,Average,0,0,No,0,0,65504,786048,Married,5,3275.2,1,0,0,10,5-10 yrs,1,789323.2,7.9,6-9 LPA
211,Rarely,2,1205.92,Good,5,36177.6,No,0,0,60296,723552,Married,5,3014.8,7,0,0,1,0-5 yrs,2,763950.32,7.6,6-9 LPA
214,Rarely,2,1816,Good,5,54480,Yes,10,9080,90800,1089600,Married,5,4540,9,0,0,1,0-5 yrs,3,1159516,11.6,9-12 LPA
215,Rarely,2,1696.96,Average,0,0,No,0,0,84848,1018176,Married,5,4242.4,4,0,0,12,10-15 yrs,2,1024115.36,10.2,9-12 LPA
216,Frequently,5,4540,Good,5,54480,No,0,0,90800,1089600,Married,5,4540,2,0,0,4,0-5 yrs,3,1153160,11.5,9-12 LPA
217,Rarely,2,1890.4,Excellent,15,170136,No,0,0,94520,1134240,Married,5,4726,19,1,98800,2,0-5 yrs,6,1409792.4,14.1,12-15 LPA
218,No Travel,0,0,Good,5,46444.8,No,0,0,77408,928896,Divorced,0,0,9,0,0,2,0-5 yrs,1,975340.8,9.8,9-12 LPA
221,Rarely,2,1324.96,Average,0,0,No,0,0,66248,794976,Married,5,3312.4,21,0,0,5,0-5 yrs,2,799613.36,8,6-9 LPA
223,Rarely,2,1935.04,Good,5,58051.2,Yes,10,9675.2,96752,1161024,Divorced,0,0,24,0,0,5,0-5 yrs,2,1230685.44,12.3,12-15 LPA
224,No Travel,0,0,Good,5,56265.6,Yes,10,9377.6,93776,1125312,Divorced,0,0,3,0,0,1,0-5 yrs,2,1190955.2,11.9,9-12 LPA
226,Rarely,2,1488.64,Good,5,44659.2,No,0,0,74432,893184,Single,0,0,11,0,0,5,0-5 yrs,5,939331.84,9.4,9-12 LPA
227,Rarely,2,1533.28,Average,0,0,No,0,0,76664,919968,Divorced,0,0,14,0,0,9,5-10 yrs,2,921501.28,9.2,9-12 LPA
228,Rarely,2,1310.08,Average,0,0,No,0,0,65504,786048,Married,5,3275.2,5,0,0,10,5-10 yrs,2,790633.28,7.9,6-9 LPA
230,Rarely,2,1577.92,Excellent,15,142012.8,No,0,0,78896,946752,Single,0,0,1,1,5200,8,5-10 yrs,2,1095542.72,11,9-12 LPA
231,Rarely,2,1339.84,Good,5,40195.2,No,0,0,66992,803904,Single,0,0,6,0,0,5,0-5 yrs,2,845439.04,8.5,6-9 LPA
