employee_id,attrition_label,attrition,gender,age,age_group,education,education_field,department,job_role,job_level,work_x_years,range_work_x,count_company_switches,range_company_switches,salary_hike_percent,range_salary_hike,stock_option_level,years_in_curr_role,range_years_in_curr_role,years_since_last_promotion,range_years_since_last_promotion,years_with_curr_manager
24,Current Employees,No,Male,38,35 - 44,Bachelor's Degree,Life Sciences,R&D,Research Scientist,1,6,5-10 switches,5,3-6 switches,11,11-15 %,0,2,0-3 switches,1,0-3 switches,2
26,Current Employees,No,Female,24,Under 25,Associates Degree,Other,R&D,Manufacturing Director,2,5,0-5 switches,0,0-2 switches,18,16-20 %,1,2,0-3 switches,1,0-3 switches,3
27,Ex-Employees,Yes,Male,36,35 - 44,Master's Degree,Life Sciences,Sales,Sales Representative,1,10,5-10 switches,7,6+ switches,23,21-25 %,0,3,0-3 switches,0,0-3 switches,3
28,Current Employees,No,Female,34,25 - 34,Master's Degree,Life Sciences,R&D,Research Director,3,13,10-15 switches,0,0-2 switches,11,11-15 %,0,6,3-6 switches,2,0-3 switches,11
30,Current Employees,No,Male,21,Under 25,Associates Degree,Life Sciences,R&D,Research Scientist,1,0,0-5 switches,1,0-2 switches,14,11-15 %,0,0,0-3 switches,0,0-3 switches,0
31,Ex-Employees,Yes,Male,34,25 - 34,High School,Medical,R&D,Research Scientist,1,8,5-10 switches,2,0-2 switches,11,11-15 %,0,2,0-3 switches,1,0-3 switches,3
32,Current Employees,No,Female,53,45 - 54,Bachelor's Degree,Other,R&D,Manager,5,26,25-30 switches,4,3-6 switches,11,11-15 %,1,13,12-15 switches,4,3-6 switches,8
33,Ex-Employees,Yes,Female,32,25 - 34,High School,Life Sciences,R&D,Research Scientist,1,10,5-10 switches,1,0-2 switches,22,21-25 %,0,2,0-3 switches,6,3-6 switches,7
35,Current Employees,No,Male,42,35 - 44,Master's Degree,Marketing,Sales,Sales Executive,2,10,5-10 switches,0,0-2 switches,11,11-15 %,1,7,6-9 switches,4,3-6 switches,2
36,Current Employees,No,Female,44,35 - 44,Master's Degree,Medical,R&D,Healthcare Representative,3,24,20-25 switches,3,3-6 switches,14,11-15 %,1,6,3-6 switches,5,3-6 switches,17
38,Current Employees,No,Female,46,45 - 54,Master's Degree,Marketing,Sales,Manager,5,22,20-25 switches,3,3-6 switches,12,11-15 %,0,2,0-3 switches,2,0-3 switches,1
39,Current Employees,No,Male,33,25 - 34,Bachelor's Degree,Medical,R&D,Laboratory Technician,1,7,5-10 switches,4,3-6 switches,11,11-15 %,0,1,0-3 switches,0,0-3 switches,0
40,Current Employees,No,Male,44,35 - 44,Master's Degree,Other,R&D,Healthcare Representative,2,9,5-10 switches,2,0-2 switches,13,11-15 %,0,2,0-3 switches,1,0-3 switches,3
41,Current Employees,No,Male,30,25 - 34,Associates Degree,Medical,R&D,Laboratory Technician,1,10,5-10 switches,1,0-2 switches,13,11-15 %,0,0,0-3 switches,1,0-3 switches,8
42,Ex-Employees,Yes,Male,39,35 - 44,Bachelor's Degree,Technical Degree,Sales,Sales Representative,2,19,15-20 switches,3,3-6 switches,14,11-15 %,1,0,0-3 switches,0,0-3 switches,0
45,Ex-Employees,Yes,Male,24,Under 25,Bachelor's Degree,Medical,R&D,Research Scientist,1,6,5-10 switches,2,0-2 switches,16,16-20 %,1,0,0-3 switches,2,0-3 switches,0
46,Current Employees,No,Female,43,35 - 44,Associates Degree,Medical,R&D,Research Scientist,1,6,5-10 switches,1,0-2 switches,12,11-15 %,2,3,0-3 switches,1,0-3 switches,4
47,Ex-Employees,Yes,Male,50,45 - 54,Associates Degree,Marketing,Sales,Sales Representative,1,3,0-5 switches,1,0-2 switches,14,11-15 %,0,2,0-3 switches,0,0-3 switches,2
49,Current Employees,No,Female,35,35 - 44,Bachelor's Degree,Marketing,Sales,Sales Representative,1,2,0-5 switches,1,0-2 switches,13,11-15 %,0,2,0-3 switches,2,0-3 switches,2
51,Current Employees,No,Female,36,35 - 44,Master's Degree,Life Sciences,R&D,Research Scientist,1,6,5-10 switches,9,6+ switches,14,11-15 %,1,1,0-3 switches,0,0-3 switches,0
52,Current Employees,No,Female,33,25 - 34,Bachelor's Degree,Life Sciences,Sales,Sales Executive,2,10,5-10 switches,2,0-2 switches,19,16-20 %,2,3,0-3 switches,1,0-3 switches,3
53,Current Employees,No,Male,35,35 - 44,Associates Degree,Other,R&D,Laboratory Technician,1,1,0-5 switches,1,0-2 switches,12,11-15 %,1,0,0-3 switches,0,0-3 switches,0
54,Current Employees,No,Female,27,25 - 34,Master's Degree,Life Sciences,R&D,Laboratory Technician,1,1,0-5 switches,1,0-2 switches,13,11-15 %,1,0,0-3 switches,0,0-3 switches,0
55,Ex-Employees,Yes,Male,26,25 - 34,Bachelor's Degree,Life Sciences,R&D,Laboratory Technician,1,1,0-5 switches,1,0-2 switches,12,11-15 %,0,0,0-3 switches,0,0-3 switches,1
56,Current Employees,No,Male,27,25 - 34,Bachelor's Degree,Life Sciences,Sales,Sales Executive,3,9,5-10 switches,1,0-2 switches,15,11-15 %,0,8,6-9 switches,1,0-3 switches,7
57,Current Employees,No,Female,30,25 - 34,Associates Degree,Medical,R&D,Laboratory Technician,2,12,10-15 switches,1,0-2 switches,23,21-25 %,0,8,6-9 switches,3,0-3 switches,7
58,Ex-Employees,Yes,Female,41,35 - 44,Bachelor's Degree,Technical Degree,R&D,Research Director,5,23,20-25 switches,1,0-2 switches,12,11-15 %,0,15,12-15 switches,15,12-15 switches,8
60,Current Employees,No,Male,34,25 - 34,Master's Degree,Marketing,Sales,Sales Executive,2,10,5-10 switches,0,0-2 switches,20,16-20 %,0,5,3-6 switches,8,6-9 switches,7
61,Current Employees,No,Male,37,35 - 44,Associates Degree,Life Sciences,R&D,Research Scientist,1,8,5-10 switches,4,3-6 switches,21,21-25 %,0,0,0-3 switches,0,0-3 switches,0
62,Current Employees,No,Male,46,45 - 54,Master's Degree,Marketing,Sales,Sales Executive,2,14,10-15 switches,4,3-6 switches,21,21-25 %,0,6,3-6 switches,0,0-3 switches,8
63,Current Employees,No,Male,35,35 - 44,High School,Life Sciences,R&D,Laboratory Technician,1,1,0-5 switches,1,0-2 switches,19,16-20 %,0,0,0-3 switches,0,0-3 switches,1
64,Ex-Employees,Yes,Male,48,45 - 54,Associates Degree,Life Sciences,R&D,Laboratory Technician,3,23,20-25 switches,9,6+ switches,13,11-15 %,0,0,0-3 switches,0,0-3 switches,0
65,Ex-Employees,Yes,Male,28,25 - 34,Master's Degree,Technical Degree,R&D,Laboratory Technician,1,2,0-5 switches,1,0-2 switches,13,11-15 %,0,2,0-3 switches,2,0-3 switches,2
68,Current Employees,No,Female,44,35 - 44,Doctoral Degree,Marketing,Sales,Sales Executive,2,9,5-10 switches,5,3-6 switches,21,21-25 %,1,3,0-3 switches,1,0-3 switches,3
70,Current Employees,No,Male,35,35 - 44,Associates Degree,Medical,R&D,Healthcare Representative,3,10,5-10 switches,2,0-2 switches,13,11-15 %,1,0,0-3 switches,2,0-3 switches,3
72,Current Employees,No,Female,26,25 - 34,Bachelor's Degree,Marketing,Sales,Sales Executive,2,5,0-5 switches,7,6+ switches,19,16-20 %,1,2,0-3 switches,0,0-3 switches,0
73,Current Employees,No,Female,33,25 - 34,Associates Degree,Life Sciences,R&D,Research Director,3,15,10-15 switches,1,0-2 switches,12,11-15 %,0,14,12-15 switches,8,6-9 switches,12
74,Current Employees,No,Male,35,35 - 44,Doctoral Degree,Life Sciences,Sales,Sales Executive,3,9,5-10 switches,1,0-2 switches,22,21-25 %,1,8,6-9 switches,1,0-3 switches,8
75,Current Employees,No,Female,35,35 - 44,Master's Degree,Medical,R&D,Laboratory Technician,1,4,0-5 switches,3,3-6 switches,15,11-15 %,1,2,0-3 switches,2,0-3 switches,2
76,Current Employees,No,Male,31,25 - 34,Master's Degree,Life Sciences,R&D,Laboratory Technician,2,10,5-10 switches,3,3-6 switches,22,21-25 %,1,7,6-9 switches,1,0-3 switches,7
77,Current Employees,No,Male,37,35 - 44,Master's Degree,Life Sciences,R&D,Manufacturing Director,2,7,5-10 switches,1,0-2 switches,18,16-20 %,1,5,3-6 switches,0,0-3 switches,7
78,Current Employees,No,Male,32,25 - 34,Bachelor's Degree,Medical,R&D,Manufacturing Director,2,9,5-10 switches,1,0-2 switches,22,21-25 %,1,8,6-9 switches,7,6-9 switches,8
79,Current Employees,No,Female,38,35 - 44,Doctoral Degree,Life Sciences,R&D,Laboratory Technician,2,10,5-10 switches,1,0-2 switches,11,11-15 %,0,3,0-3 switches,9,6-9 switches,9
80,Current Employees,No,Female,50,45 - 54,Associates Degree,Medical,R&D,Research Director,5,29,25-30 switches,5,3-6 switches,12,11-15 %,1,3,0-3 switches,13,12-15 switches,8
81,Current Employees,No,Female,59,Over 55,Bachelor's Degree,Life Sciences,Sales,Sales Executive,3,28,25-30 switches,7,6+ switches,11,11-15 %,0,16,15-18 switches,7,6-9 switches,9
83,Current Employees,No,Female,36,35 - 44,Bachelor's Degree,Technical Degree,R&D,Healthcare Representative,3,17,15-20 switches,1,0-2 switches,13,11-15 %,3,14,12-15 switches,12,9-12 switches,8
84,Current Employees,No,Female,55,Over 55,Bachelor's Degree,Medical,R&D,Manager,4,21,20-25 switches,2,0-2 switches,14,11-15 %,3,0,0-3 switches,0,0-3 switches,2
85,Current Employees,No,Male,36,35 - 44,Bachelor's Degree,Life Sciences,R&D,Manufacturing Director,2,6,5-10 switches,1,0-2 switches,13,11-15 %,0,5,3-6 switches,0,0-3 switches,3
86,Current Employees,No,Male,45,45 - 54,Bachelor's Degree,Life Sciences,R&D,Research Scientist,3,25,20-25 switches,2,0-2 switches,17,16-20 %,1,0,0-3 switches,0,0-3 switches,0
88,Current Employees,No,Male,35,35 - 44,Bachelor's Degree,Medical,R&D,Research Scientist,1,5,0-5 switches,4,3-6 switches,13,11-15 %,1,2,0-3 switches,1,0-3 switches,2
90,Ex-Employees,Yes,Male,36,35 - 44,Bachelor's Degree,Medical,R&D,Research Scientist,1,2,0-5 switches,0,0-2 switches,17,16-20 %,1,0,0-3 switches,0,0-3 switches,0
91,Current Employees,No,Female,59,Over 55,High School,Life Sciences,Sales,Sales Executive,2,20,15-20 switches,7,6+ switches,11,11-15 %,0,3,0-3 switches,1,0-3 switches,3
94,Current Employees,No,Male,29,25 - 34,Bachelor's Degree,Life Sciences,R&D,Research Scientist,1,6,5-10 switches,0,0-2 switches,23,21-25 %,1,4,3-6 switches,0,0-3 switches,4
95,Current Employees,No,Male,31,25 - 34,Master's Degree,Medical,R&D,Research Scientist,1,1,0-5 switches,1,0-2 switches,17,16-20 %,0,1,0-3 switches,1,0-3 switches,0
96,Current Employees,No,Male,32,25 - 34,Bachelor's Degree,Life Sciences,R&D,Research Scientist,2,10,5-10 switches,1,0-2 switches,17,16-20 %,2,4,3-6 switches,0,0-3 switches,9
97,Current Employees,No,Female,36,35 - 44,Bachelor's Degree,Life Sciences,R&D,Laboratory Technician,1,5,0-5 switches,3,3-6 switches,12,11-15 %,0,0,0-3 switches,0,0-3 switches,0
98,Current Employees,No,Female,31,25 - 34,Master's Degree,Life Sciences,R&D,Manufacturing Director,2,11,10-15 switches,1,0-2 switches,23,21-25 %,0,7,6-9 switches,1,0-3 switches,8
100,Current Employees,No,Male,35,35 - 44,Master's Degree,Marketing,Sales,Sales Executive,2,16,15-20 switches,0,0-2 switches,14,11-15 %,0,13,12-15 switches,2,0-3 switches,8
101,Current Employees,No,Male,45,45 - 54,Master's Degree,Other,R&D,Research Director,3,17,15-20 switches,4,3-6 switches,14,11-15 %,0,0,0-3 switches,0,0-3 switches,0
102,Current Employees,No,Male,37,35 - 44,Master's Degree,Medical,R&D,Research Director,3,16,15-20 switches,4,3-6 switches,13,11-15 %,0,2,0-3 switches,0,0-3 switches,2
103,Current Employees,No,Male,46,45 - 54,Associates Degree,Medical,HR,Human Resources,2,16,15-20 switches,8,6+ switches,22,21-25 %,1,2,0-3 switches,0,0-3 switches,2
104,Current Employees,No,Male,30,25 - 34,High School,Life Sciences,R&D,Laboratory Technician,2,10,5-10 switches,1,0-2 switches,12,11-15 %,2,8,6-9 switches,3,0-3 switches,0
105,Current Employees,No,Male,35,35 - 44,Bachelor's Degree,Medical,R&D,Research Scientist,1,6,5-10 switches,1,0-2 switches,18,16-20 %,0,4,3-6 switches,0,0-3 switches,4
106,Current Employees,No,Male,55,Over 55,Associates Degree,Life Sciences,Sales,Sales Executive,3,24,20-25 switches,3,3-6 switches,14,11-15 %,1,0,0-3 switches,1,0-3 switches,0
107,Current Employees,No,Female,38,35 - 44,Bachelor's Degree,Medical,R&D,Research Scientist,2,17,15-20 switches,7,6+ switches,12,11-15 %,3,11,9-12 switches,1,0-3 switches,9
110,Current Employees,No,Male,34,25 - 34,Associates Degree,Medical,R&D,Manufacturing Director,2,5,0-5 switches,1,0-2 switches,15,11-15 %,0,2,0-3 switches,1,0-3 switches,3
112,Current Employees,No,Male,56,Over 55,Bachelor's Degree,Life Sciences,R&D,Manufacturing Director,3,37,35+ switches,4,3-6 switches,11,11-15 %,0,4,3-6 switches,0,0-3 switches,2
113,Current Employees,No,Male,23,Under 25,High School,Technical Degree,Sales,Sales Representative,1,3,0-5 switches,3,3-6 switches,13,11-15 %,1,0,0-3 switches,0,0-3 switches,0
116,Current Employees,No,Male,51,45 - 54,Master's Degree,Life Sciences,R&D,Laboratory Technician,1,10,5-10 switches,3,3-6 switches,23,21-25 %,2,2,0-3 switches,0,0-3 switches,3
117,Current Employees,No,Male,30,25 - 34,Bachelor's Degree,Life Sciences,R&D,Healthcare Representative,2,11,10-15 switches,1,0-2 switches,19,16-20 %,3,10,9-12 switches,10,9-12 switches,8
118,Ex-Employees,Yes,Male,46,45 - 54,Associates Degree,Medical,Sales,Sales Executive,3,9,5-10 switches,1,0-2 switches,16,16-20 %,0,8,6-9 switches,4,3-6 switches,7
119,Current Employees,No,Male,40,35 - 44,Master's Degree,Life Sciences,R&D,Healthcare Representative,4,22,20-25 switches,1,0-2 switches,22,21-25 %,1,3,0-3 switches,11,9-12 switches,11
120,Current Employees,No,Male,51,45 - 54,Master's Degree,Marketing,Sales,Sales Executive,2,11,10-15 switches,0,0-2 switches,22,21-25 %,0,7,6-9 switches,1,0-3 switches,0
121,Current Employees,No,Female,30,25 - 34,Associates Degree,Medical,Sales,Sales Executive,2,11,10-15 switches,1,0-2 switches,12,11-15 %,3,8,6-9 switches,2,0-3 switches,7
124,Current Employees,No,Male,46,45 - 54,Bachelor's Degree,Medical,R&D,Healthcare Representative,3,21,20-25 switches,2,0-2 switches,13,11-15 %,1,9,6-9 switches,9,6-9 switches,5
125,Current Employees,No,Male,32,25 - 34,Master's Degree,Medical,Sales,Sales Executive,2,12,10-15 switches,1,0-2 switches,16,16-20 %,0,8,6-9 switches,5,3-6 switches,7
126,Current Employees,No,Female,54,45 - 54,Master's Degree,Technical Degree,R&D,Research Director,3,16,15-20 switches,9,6+ switches,12,11-15 %,1,3,0-3 switches,0,0-3 switches,3
128,Current Employees,No,Female,24,Under 25,Associates Degree,Other,Sales,Sales Executive,2,4,0-5 switches,0,0-2 switches,21,21-25 %,1,2,0-3 switches,0,0-3 switches,2
129,Current Employees,No,Male,28,25 - 34,Bachelor's Degree,Medical,Sales,Sales Executive,2,5,0-5 switches,1,0-2 switches,15,11-15 %,0,4,3-6 switches,0,0-3 switches,4
131,Current Employees,No,Male,58,Over 55,Master's Degree,Medical,Sales,Sales Executive,4,38,35+ switches,0,0-2 switches,13,11-15 %,0,10,9-12 switches,1,0-3 switches,8
132,Current Employees,No,Male,44,35 - 44,Bachelor's Degree,Medical,R&D,Laboratory Technician,2,17,15-20 switches,4,3-6 switches,12,11-15 %,1,2,0-3 switches,1,0-3 switches,2
133,Ex-Employees,Yes,Male,37,35 - 44,Master's Degree,Human Resources,HR,Human Resources,1,7,5-10 switches,4,3-6 switches,22,21-25 %,0,2,0-3 switches,0,0-3 switches,2
134,Current Employees,No,Male,32,25 - 34,High School,Life Sciences,R&D,Research Scientist,1,1,0-5 switches,1,0-2 switches,13,11-15 %,0,0,0-3 switches,0,0-3 switches,0
137,Ex-Employees,Yes,Female,20,Under 25,Bachelor's Degree,Life Sciences,R&D,Laboratory Technician,1,1,0-5 switches,1,0-2 switches,18,16-20 %,0,0,0-3 switches,1,0-3 switches,0
138,Current Employees,No,Female,34,25 - 34,Master's Degree,Other,R&D,Research Scientist,2,16,15-20 switches,1,0-2 switches,14,11-15 %,0,13,12-15 switches,2,0-3 switches,10
139,Current Employees,No,Male,37,35 - 44,Associates Degree,Life Sciences,R&D,Healthcare Representative,2,17,15-20 switches,5,3-6 switches,14,11-15 %,1,0,0-3 switches,0,0-3 switches,0
140,Current Employees,No,Female,59,Over 55,Master's Degree,Human Resources,HR,Manager,5,30,25-30 switches,9,6+ switches,21,21-25 %,1,2,0-3 switches,2,0-3 switches,2
141,Current Employees,No,Female,50,45 - 54,Bachelor's Degree,Life Sciences,R&D,Research Director,5,28,25-30 switches,3,3-6 switches,19,16-20 %,0,3,0-3 switches,0,0-3 switches,7
142,Ex-Employees,Yes,Male,25,25 - 34,Bachelor's Degree,Marketing,Sales,Sales Executive,2,6,5-10 switches,1,0-2 switches,11,11-15 %,0,4,3-6 switches,0,0-3 switches,3
143,Current Employees,No,Male,25,25 - 34,High School,Medical,R&D,Research Scientist,1,2,0-5 switches,1,0-2 switches,11,11-15 %,2,2,0-3 switches,2,0-3 switches,1
144,Current Employees,No,Female,22,Under 25,Bachelor's Degree,Medical,R&D,Laboratory Technician,1,1,0-5 switches,1,0-2 switches,15,11-15 %,0,0,0-3 switches,0,0-3 switches,0
145,Current Employees,No,Female,51,45 - 54,Master's Degree,Medical,R&D,Healthcare Representative,3,23,20-25 switches,3,3-6 switches,20,16-20 %,0,12,9-12 switches,12,9-12 switches,8
147,Ex-Employees,Yes,Male,34,25 - 34,Bachelor's Degree,Life Sciences,R&D,Laboratory Technician,2,9,5-10 switches,1,0-2 switches,24,21-25 %,0,7,6-9 switches,0,0-3 switches,6
148,Current Employees,No,Female,54,45 - 54,Bachelor's Degree,Human Resources,HR,Manager,4,23,20-25 switches,2,0-2 switches,12,11-15 %,0,3,0-3 switches,4,3-6 switches,4
150,Current Employees,No,Male,24,Under 25,High School,Life Sciences,R&D,Laboratory Technician,1,6,5-10 switches,0,0-2 switches,12,11-15 %,1,3,0-3 switches,1,0-3 switches,2
151,Current Employees,No,Female,34,25 - 34,Master's Degree,Life Sciences,R&D,Research Scientist,2,12,10-15 switches,6,3-6 switches,15,11-15 %,1,0,0-3 switches,0,0-3 switches,0
152,Current Employees,No,Male,37,35 - 44,Bachelor's Degree,Life Sciences,Sales,Sales Executive,3,12,10-15 switches,2,0-2 switches,12,11-15 %,0,3,0-3 switches,1,0-3 switches,3
153,Current Employees,No,Female,34,25 - 34,Bachelor's Degree,Medical,R&D,Manager,3,14,10-15 switches,2,0-2 switches,12,11-15 %,0,10,9-12 switches,5,3-6 switches,8
154,Current Employees,No,Female,36,35 - 44,Associates Degree,Technical Degree,Sales,Sales Executive,3,10,5-10 switches,0,0-2 switches,14,11-15 %,1,7,6-9 switches,2,0-3 switches,8
155,Current Employees,No,Female,36,35 - 44,Associates Degree,Life Sciences,R&D,Laboratory Technician,1,7,5-10 switches,5,3-6 switches,22,21-25 %,1,0,0-3 switches,0,0-3 switches,0
158,Current Employees,No,Male,43,35 - 44,Associates Degree,Life Sciences,Sales,Manager,4,25,20-25 switches,1,0-2 switches,12,11-15 %,2,12,9-12 switches,4,3-6 switches,12
159,Current Employees,No,Male,30,25 - 34,Bachelor's Degree,Life Sciences,R&D,Research Scientist,1,10,5-10 switches,1,0-2 switches,25,21-25 %,3,7,6-9 switches,0,0-3 switches,9
160,Current Employees,No,Male,33,25 - 34,Associates Degree,Marketing,Sales,Sales Executive,2,8,5-10 switches,0,0-2 switches,13,11-15 %,1,7,6-9 switches,0,0-3 switches,7
161,Ex-Employees,Yes,Female,56,Over 55,Master's Degree,Life Sciences,R&D,Research Scientist,1,7,5-10 switches,9,6+ switches,18,16-20 %,3,4,3-6 switches,4,3-6 switches,3
162,Current Employees,No,Male,51,45 - 54,Bachelor's Degree,Life Sciences,R&D,Research Director,5,23,20-25 switches,7,6+ switches,13,11-15 %,0,18,15-18 switches,15,12-15 switches,15
163,Ex-Employees,Yes,Male,31,25 - 34,Master's Degree,Life Sciences,Sales,Sales Executive,2,12,10-15 switches,4,3-6 switches,18,16-20 %,0,7,6-9 switches,7,6-9 switches,7
164,Current Employees,No,Female,26,25 - 34,Bachelor's Degree,Other,R&D,Research Scientist,1,5,0-5 switches,1,0-2 switches,19,16-20 %,0,4,3-6 switches,4,3-6 switches,3
165,Ex-Employees,Yes,Female,58,Over 55,Master's Degree,Medical,R&D,Healthcare Representative,3,40,35+ switches,1,0-2 switches,12,11-15 %,1,10,9-12 switches,15,12-15 switches,6
167,Ex-Employees,Yes,Male,19,Under 25,High School,Marketing,Sales,Sales Representative,1,0,0-5 switches,1,0-2 switches,19,16-20 %,0,0,0-3 switches,0,0-3 switches,0
169,Current Employees,No,Male,22,Under 25,High School,Technical Degree,R&D,Laboratory Technician,1,3,0-5 switches,0,0-2 switches,14,11-15 %,1,1,0-3 switches,2,0-3 switches,1
170,Current Employees,No,Female,49,45 - 54,Master's Degree,Medical,R&D,Manufacturing Director,2,16,15-20 switches,1,0-2 switches,14,11-15 %,0,11,9-12 switches,5,3-6 switches,11
171,Current Employees,No,Female,43,35 - 44,Bachelor's Degree,Medical,R&D,Research Scientist,1,18,15-20 switches,4,3-6 switches,12,11-15 %,0,2,0-3 switches,1,0-3 switches,2
174,Current Employees,No,Female,50,45 - 54,Bachelor's Degree,Marketing,Sales,Sales Executive,3,16,15-20 switches,4,3-6 switches,11,11-15 %,0,2,0-3 switches,2,0-3 switches,1
175,Ex-Employees,Yes,Female,31,25 - 34,Bachelor's Degree,Life Sciences,Sales,Sales Executive,2,4,0-5 switches,3,3-6 switches,11,11-15 %,1,2,0-3 switches,2,0-3 switches,2
176,Current Employees,No,Male,41,35 - 44,High School,Life Sciences,Sales,Sales Executive,3,12,10-15 switches,3,3-6 switches,13,11-15 %,1,7,6-9 switches,0,0-3 switches,7
177,Current Employees,No,Female,26,25 - 34,High School,Life Sciences,HR,Human Resources,1,8,5-10 switches,1,0-2 switches,23,21-25 %,1,7,6-9 switches,5,3-6 switches,7
178,Current Employees,No,Male,36,35 - 44,Associates Degree,Medical,R&D,Manufacturing Director,2,7,5-10 switches,6,3-6 switches,20,16-20 %,2,2,0-3 switches,0,0-3 switches,1
179,Ex-Employees,Yes,Male,51,45 - 54,Master's Degree,Life Sciences,R&D,Manufacturing Director,3,18,15-20 switches,2,0-2 switches,15,11-15 %,0,2,0-3 switches,0,0-3 switches,3
182,Current Employees,No,Female,39,35 - 44,Master's Degree,Life Sciences,Sales,Sales Executive,2,17,15-20 switches,4,3-6 switches,14,11-15 %,1,11,9-12 switches,5,3-6 switches,9
183,Current Employees,No,Male,25,25 - 34,Bachelor's Degree,Life Sciences,Sales,Sales Executive,2,6,5-10 switches,2,0-2 switches,18,16-20 %,0,2,0-3 switches,2,0-3 switches,2
184,Current Employees,No,Male,30,25 - 34,Bachelor's Degree,Human Resources,HR,Human Resources,2,12,10-15 switches,0,0-2 switches,19,16-20 %,0,9,6-9 switches,4,3-6 switches,7
190,Ex-Employees,Yes,Female,32,25 - 34,Bachelor's Degree,Medical,R&D,Laboratory Technician,1,10,5-10 switches,7,6+ switches,22,21-25 %,0,4,3-6 switches,0,0-3 switches,4
192,Current Employees,No,Male,45,45 - 54,Bachelor's Degree,Medical,R&D,Research Scientist,1,9,5-10 switches,5,3-6 switches,13,11-15 %,0,5,3-6 switches,0,0-3 switches,3
